epoch,train_loss,val_loss,lr,epoch_time_sec
1,0.0006067192095319067,8.814506025119354e-05,0.0003,47.04
2,7.738725458307033e-05,7.713169502129019e-05,0.0003,41.4
3,5.314475463984189e-05,3.717871817136184e-05,0.0003,42.07
4,4.322012875723276e-05,3.444554478112817e-05,0.0003,42.26
5,3.413550875412326e-05,2.341212209554076e-05,0.0003,41.72
6,2.9540473957672834e-05,2.517749726700679e-05,0.0003,41.94
7,2.624023914936979e-05,2.4148826640913035e-05,0.0003,41.66
8,2.3094238394130194e-05,2.8342366321557568e-05,0.0003,41.31
9,2.163736364213113e-05,1.8646393463179143e-05,0.0003,41.9
10,2.0030207839584427e-05,1.935938957433346e-05,0.0003,41.78
11,1.8641536341863564e-05,1.5858046178812672e-05,0.0003,42.3
12,1.7700207490402172e-05,1.6423944201960326e-05,0.0003,44.22
13,1.6934292697054898e-05,1.5652671595513697e-05,0.0003,43.67
14,1.6045684100279564e-05,1.6997342258832685e-05,0.0003,43.45
15,1.5033888350712595e-05,1.6299207261989788e-05,0.0003,43.0
16,1.4350517856404424e-05,1.4656610210457701e-05,0.0003,42.22
17,1.4117199257729303e-05,1.6469214568778094e-05,0.0003,41.72
18,1.363837962843602e-05,1.7831174845403617e-05,0.0003,42.45
19,1.2821457689413487e-05,1.823314813277338e-05,0.0003,43.2
20,1.2872000237122948e-05,1.81436159085918e-05,0.0003,42.43
21,1.20328918865888e-05,1.4601977660645931e-05,0.0003,42.67
22,1.1864739110329924e-05,1.7093639831615818e-05,0.0003,42.54
23,1.1148424898464776e-05,1.4186218618911586e-05,0.0003,42.89
24,1.131910202251127e-05,1.6558333241365183e-05,0.0003,42.68
25,1.0927732781756316e-05,1.8502300082711606e-05,0.0003,42.8
26,1.0500147303132289e-05,1.3534667380814291e-05,0.0003,43.5
27,1.0496607010805995e-05,1.397912233288927e-05,0.0003,44.47
28,9.967747509742474e-06,1.5481169306134108e-05,0.0003,44.15
29,9.951046521372041e-06,1.4538042893787304e-05,0.0003,43.56
30,9.616176269604514e-06,1.5775568066312635e-05,0.0003,43.15
31,9.593436512944952e-06,1.6228905917587715e-05,0.0003,44.14
32,9.270697990056438e-06,1.4852610415192706e-05,0.0003,43.92
33,9.072845827877172e-06,1.7368044891015927e-05,0.0003,43.95
34,8.735235966778157e-06,1.5066865594908148e-05,0.0003,43.82
35,8.659313985262174e-06,1.3390856637991142e-05,0.0003,43.36
36,8.582356473171787e-06,1.342727911421928e-05,0.0003,43.49
37,8.266196610647042e-06,1.4973202197484915e-05,0.0003,44.21
38,8.112614184102456e-06,1.4420753053457422e-05,0.0003,44.05
39,7.949141481131653e-06,1.3724857119129513e-05,0.0003,43.83
40,7.86169599418698e-06,1.4489687573129373e-05,0.0003,43.65
